# generated for laser system 1
# Made by hand by Matthias
# N, HRM, VRM, HS, VS, S, SC, AT, AP
194, -52000, 0, 15000, 8000, 0, 0, 4800, 0
195, -52000, 0, 4000, 8000, 4. 0, 4800, 0
196, -39000, 0, 15000, 8000, 0, 0, 4800, 0
197, -40000, 0, 4000, 8000, 4. 0, 4800, 0
198, 354000, 0, 15000, 8000, 0, 0, 4800, 0
199, 0, 12500, 8000, 8000, 0, 0, 4800, 0
200, -25000, 0, 4000, 8000, 4. 0, 4800, 0
201, -33000, 0, 15000, 8000, 0, 0, 4800, 0
202, -40000, 0, 4000, 8000, 4. 0, 4800, 0
203, -46000, 0, 15000, 8000, 0, 0, 4800, 0
204, -27000, 0, 4000, 8000, 4. 0, 4800, 0
205, -52000, 0, 15000, 8000, 0, 0, 4800, 0
206, -52000, 0, 4000, 8000, 4. 0, 4800, 0
207, -39000, 0, 15000, 8000, 0, 0, 4800, 0
208, -40000, 0, 4000, 8000, 4. 0, 4800, 0
209, 354000, 0, 15000, 8000, 0, 0, 4800, 0
210, 0, 12500, 8000, 8000, 0, 0, 4800, 0
211, -25000, 0, 4000, 8000, 4. 0, 4800, 0
212, -33000, 0, 15000, 8000, 0, 0, 4800, 0
213, -40000, 0, 4000, 8000, 4. 0, 4800, 0
214, -46000, 0, 15000, 8000, 0, 0, 4800, 0
215, -27000, 0, 4000, 8000, 4. 0, 4800, 0
216, -52000, 0, 15000, 8000, 0, 0, 4800, 0
217, -52000, 0, 4000, 8000, 4. 0, 4800, 0
218, -39000, 0, 15000, 8000, 0, 0, 4800, 0
219, -40000, 0, 4000, 8000, 4. 0, 4800, 0
220, 354000, 0, 15000, 8000, 0, 0, 4800, 0
221, 0, 12500, 8000, 8000, 0, 0, 4800, 0
222, -25000, 0, 4000, 8000, 4. 0, 4800, 0
223, -33000, 0, 15000, 8000, 0, 0, 4800, 0
224, -40000, 0, 4000, 8000, 4. 0, 4800, 0
225, -46000, 0, 15000, 8000, 0, 0, 4800, 0
226, -27000, 0, 4000, 8000, 4. 0, 4800, 0
227, -52000, 0, 15000, 8000, 0, 0, 4800, 0
228, -52000, 0, 4000, 8000, 4. 0, 4800, 0
