# generated for laser system 1
# Made by hand by Matthias
# N, HRM, VRM, HS, VS, S, SC, AT, AP
257, -27000, 0, 8000, 8000, -2.5, 5, 4000, 0
258, -52000, 0, 15000, 8000, 0, 0, 4000, 0
259, -5200, 0, 8000, 8000, -2.5, 5, 4000, 0
260, -5200, 0, 8000, 8000, -2.5, 5, 4000, 0
261, -5200, 0, 8000, 8000, -2.5, 5, 4000, 0
262, -5200, 0, 8000, 8000, -2.5, 5, 4000, 0
263, -5200, 0, 8000, 8000, -2.5, 5, 4000, 0
264, -5200, 0, 8000, 8000, -2.5, 5, 4000, 0
265, -5200, 0, 8000, 8000, -2.5, 5, 4000, 0
266, -5200, 0, 8000, 8000, -2.5, 5, 4000, 0
267, -5200, 0, 8000, 8000, -2.5, 5, 4000, 0
268, -5200, 0, 8000, 8000, -2.5, 5, 4000, 0
269, -39000, 0, 15000, 8000, 0, 0, 4000, 0
270, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
271, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
272, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
273, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
274, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
275, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
276, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
277, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
278, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
279, -4000, 0, 8000, 8000, -2.5, 5, 4000, 0
280, 354000, 0, 15000, 8000, 0, 0, 4000, 0
281, 0, 25000, 8000, 8000, 0, 0, 4800, 0
282, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
283, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
284, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
285, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
286, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
287, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
288, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
289, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
290, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
291, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
292, -33000, 0, 15000, 8000, 0, 0, 4800, 0
293, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
294, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
295, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
296, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
297, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
298, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
299, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
300, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
301, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
302, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
303, -46000, 0, 15000, 8000, 0, 0, 4800, 0
304, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
305, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
306, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
307, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
308, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
309, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
310, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
311, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
312, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
313, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
314, -52000, 0, 15000, 8000, 0, 0, 4800, 0
315, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
316, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
317, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
318, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
319, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
320, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
321, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
322, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
323, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
324, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
325, -39000, 0, 15000, 8000, 0, 0, 4800, 0
326, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
327, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
328, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
329, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
330, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
331, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
332, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
333, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
334, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
335, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
336, 354000, 0, 15000, 8000, 0, 0, 4800, 0
337, 0, 25000, 8000, 8000, 0, 0, 4800, 0
338, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
339, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
340, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
341, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
342, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
343, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
344, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
345, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
346, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
347, -2500, 0, 8000, 8000, -2.5, 5, 4800, 0
348, -33000, 0, 15000, 8000, 0, 0, 4800, 0
349, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
350, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
351, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
352, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
353, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
354, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
355, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
356, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
357, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
358, -4000, 0, 8000, 8000, -2.5, 5, 4800, 0
359, -46000, 0, 15000, 8000, 0, 0, 4800, 0
360, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
361, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
362, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
363, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
364, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
365, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
366, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
367, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
368, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
369, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
370, -52000, 0, 15000, 8000, 0, 0, 4800, 0
371, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
372, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
373, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
